Date,Crime Count,Moon Phase,Special,Special Type
1/1/2015,44.0,,,
1/10/2015,1.0,,,
1/11/2015,3.0,,,
1/12/2015,2.0,,,
1/13/2015,3.0,Third Quarter,n,
1/14/2015,1.0,,,
1/15/2015,4.0,,,
1/16/2015,3.0,,,
1/18/2015,1.0,,,
1/19/2015,6.0,,,
1/2/2015,1.0,,,
1/20/2015,2.0,New Moon,n,
1/21/2015,1.0,,,
1/22/2015,2.0,,,
1/23/2015,1.0,,,
1/24/2015,2.0,,,
1/27/2015,1.0,,,
1/30/2015,3.0,,,
1/31/2015,2.0,,,
1/4/2015,3.0,Full Moon,n,
1/5/2015,3.0,,,
1/6/2015,3.0,,,
1/7/2015,2.0,,,
1/8/2015,1.0,,,
10/1/2015,197.0,,,
10/10/2015,171.0,,,
10/11/2015,140.0,,,
10/12/2015,161.0,New Moon,y,Micro New Moon
10/13/2015,154.0,,,
10/14/2015,163.0,,,
10/15/2015,169.0,,,
10/16/2015,176.0,,,
10/17/2015,179.0,,,
10/18/2015,191.0,,,
10/19/2015,158.0,,,
10/2/2015,162.0,,,
10/20/2015,132.0,First Quarter,n,
10/21/2015,164.0,,,
10/22/2015,148.0,,,
10/23/2015,143.0,,,
10/24/2015,194.0,,,
10/25/2015,177.0,,,
10/26/2015,166.0,,,
10/27/2015,147.0,Full Moon,y,Super Full Moon
10/28/2015,156.0,,,
10/29/2015,190.0,,,
10/3/2015,180.0,,,
10/30/2015,185.0,,,
10/31/2015,232.0,,,
10/4/2015,137.0,Third Quarter,n,
10/5/2015,154.0,,,
10/6/2015,137.0,,,
10/7/2015,175.0,,,
10/8/2015,132.0,,,
10/9/2015,155.0,,,
11/1/2015,177.0,,,
11/10/2015,144.0,,,
11/11/2015,147.0,New Moon,n,
11/12/2015,160.0,,,
11/13/2015,133.0,,,
11/14/2015,126.0,,,
11/15/2015,153.0,,,
11/16/2015,115.0,,,
11/17/2015,171.0,,,
11/18/2015,160.0,First Quarter,n,
11/19/2015,172.0,,,
11/2/2015,165.0,,,
11/20/2015,173.0,,,
11/21/2015,215.0,,,
11/22/2015,146.0,,,
11/23/2015,174.0,,,
11/24/2015,162.0,,,
11/25/2015,182.0,Full Moon,n,
11/26/2015,127.0,,,
11/27/2015,182.0,,,
11/28/2015,161.0,,,
11/29/2015,138.0,,,
11/3/2015,157.0,Third Quarter,n,
11/30/2015,143.0,,,
11/4/2015,148.0,,,
11/5/2015,183.0,,,
11/6/2015,169.0,,,
11/7/2015,177.0,,,
11/8/2015,125.0,,,
11/9/2015,156.0,,,
12/1/2015,188.0,,,
12/10/2015,151.0,,,
12/11/2015,158.0,New Moon,n,
12/12/2015,180.0,,,
12/13/2015,150.0,,,
12/14/2015,175.0,,,
12/15/2015,159.0,,,
12/16/2015,156.0,,,
12/17/2015,140.0,,,
12/18/2015,187.0,First Quarter,n,
12/19/2015,164.0,,,
12/2/2015,166.0,Third Quarter,n,
12/20/2015,130.0,,,
12/21/2015,164.0,,,
12/22/2015,155.0,,,
12/23/2015,148.0,,,
12/24/2015,152.0,,,
12/25/2015,108.0,Full Moon,n,
12/26/2015,141.0,,,
12/27/2015,153.0,,,
12/28/2015,134.0,,,
12/29/2015,137.0,,,
12/3/2015,164.0,,,
12/30/2015,166.0,,,
12/31/2015,145.0,,,
12/4/2015,209.0,,,
12/5/2015,166.0,,,
12/6/2015,164.0,,,
12/7/2015,140.0,,,
12/8/2015,162.0,,,
12/9/2015,146.0,,,
2/1/2015,18.0,,,
2/11/2015,2.0,Third Quarter,n,
2/13/2015,2.0,,,
2/14/2015,2.0,,,
2/15/2015,7.0,,,
2/16/2015,1.0,,,
2/18/2015,2.0,New Moon,y,Super New Moon
2/19/2015,1.0,,,
2/2/2015,4.0,,,
2/20/2015,5.0,,,
2/21/2015,2.0,,,
2/22/2015,5.0,,,
2/23/2015,1.0,,,
2/24/2015,2.0,,,
2/25/2015,3.0,First Quarter,n,
2/26/2015,8.0,,,
2/27/2015,2.0,,,
2/28/2015,2.0,,,
2/3/2015,1.0,Full Moon,n,
2/4/2015,1.0,,,
2/5/2015,3.0,,,
2/6/2015,3.0,,,
2/7/2015,1.0,,,
2/8/2015,1.0,,,
3/1/2015,25.0,,,
3/10/2015,5.0,,,
3/11/2015,2.0,,,
3/12/2015,7.0,,,
3/13/2015,1.0,Third Quarter,n,
3/14/2015,1.0,,,
3/15/2015,5.0,,,
3/16/2015,2.0,,,
3/17/2015,3.0,,,
3/18/2015,4.0,,,
3/19/2015,8.0,,,
3/2/2015,4.0,,,
3/20/2015,4.0,New Moon,y,Super New Moon
3/21/2015,5.0,,,
3/23/2015,1.0,,,
3/24/2015,1.0,,,
3/25/2015,1.0,,,
3/26/2015,4.0,,,
3/27/2015,4.0,First Quarter,n,
3/28/2015,5.0,,,
3/29/2015,2.0,,,
3/3/2015,4.0,,,
3/31/2015,4.0,,,
3/4/2015,4.0,,,
3/5/2015,3.0,Full Moon,y,Micro Full Moon
3/6/2015,5.0,,,
3/8/2015,1.0,,,
3/9/2015,2.0,,,
4/1/2015,31.0,,,
4/10/2015,9.0,,,
4/11/2015,4.0,Third Quarter,n,
4/12/2015,5.0,,,
4/13/2015,9.0,,,
4/14/2015,8.0,,,
4/15/2015,29.0,,,
4/16/2015,6.0,,,
4/17/2015,9.0,,,
4/18/2015,4.0,New Moon,n,
4/19/2015,7.0,,,
4/2/2015,2.0,,,
4/20/2015,19.0,,,
4/21/2015,8.0,,,
4/22/2015,9.0,,,
4/23/2015,8.0,,,
4/24/2015,16.0,,,
4/25/2015,7.0,First Quarter,n,
4/26/2015,11.0,,,
4/27/2015,30.0,,,
4/28/2015,26.0,,,
4/29/2015,29.0,,,
4/3/2015,7.0,,,
4/30/2015,65.0,,,
4/4/2015,7.0,Full Moon,y,Total Lunar Eclipse
4/5/2015,4.0,,,
4/6/2015,11.0,,,
4/7/2015,10.0,,,
4/8/2015,2.0,,,
4/9/2015,2.0,,,
5/1/2015,193.0,,,
5/10/2015,145.0,,,
5/11/2015,149.0,Third Quarter,n,
5/12/2015,163.0,,,
5/13/2015,139.0,,,
5/14/2015,147.0,,,
5/15/2015,190.0,,,
5/16/2015,167.0,,,
5/17/2015,162.0,New Moon,n,
5/18/2015,158.0,,,
5/19/2015,149.0,,,
5/2/2015,178.0,,,
5/20/2015,197.0,,,
5/21/2015,188.0,,,
5/22/2015,163.0,,,
5/23/2015,134.0,,,
5/24/2015,140.0,,,
5/25/2015,140.0,First Quarter,n,
5/26/2015,189.0,,,
5/27/2015,149.0,,,
5/28/2015,147.0,,,
5/29/2015,158.0,,,
5/3/2015,130.0,Full Moon,n,
5/30/2015,167.0,,,
5/31/2015,135.0,,,
5/4/2015,146.0,,,
5/5/2015,151.0,,,
5/6/2015,169.0,,,
5/7/2015,143.0,,,
5/8/2015,150.0,,,
5/9/2015,125.0,,,
6/1/2015,173.0,,,
6/10/2015,175.0,,,
6/11/2015,125.0,,,
6/12/2015,164.0,,,
6/13/2015,155.0,,,
6/14/2015,148.0,,,
6/15/2015,162.0,,,
6/16/2015,137.0,New Moon,n,
6/17/2015,156.0,,,
6/18/2015,145.0,,,
6/19/2015,139.0,,,
6/2/2015,145.0,Full Moon,n,
6/20/2015,135.0,,,
6/21/2015,163.0,,,
6/22/2015,142.0,,,
6/23/2015,169.0,,,
6/24/2015,154.0,First Quarter,n,
6/25/2015,187.0,,,
6/26/2015,156.0,,,
6/27/2015,143.0,,,
6/28/2015,144.0,,,
6/29/2015,152.0,,,
6/3/2015,147.0,,,
6/30/2015,134.0,,,
6/4/2015,152.0,,,
6/5/2015,172.0,,,
6/6/2015,144.0,,,
6/7/2015,153.0,,,
6/8/2015,147.0,,,
6/9/2015,145.0,Third Quarter,n,
7/1/2015,167.0,Full Moon,n,
7/10/2015,171.0,,,
7/11/2015,157.0,,,
7/12/2015,114.0,,,
7/13/2015,126.0,,,
7/14/2015,144.0,,,
7/15/2015,156.0,New Moon,n,
7/16/2015,159.0,,,
7/17/2015,186.0,,,
7/18/2015,151.0,,,
7/19/2015,124.0,,,
7/2/2015,167.0,,,
7/20/2015,154.0,,,
7/21/2015,161.0,,,
7/22/2015,163.0,,,
7/23/2015,165.0,First Quarter,n,
7/24/2015,190.0,,,
7/25/2015,151.0,,,
7/26/2015,166.0,,,
7/27/2015,145.0,,,
7/28/2015,159.0,,,
7/29/2015,174.0,,,
7/3/2015,176.0,,,
7/30/2015,162.0,,,
7/31/2015,172.0,Full Moon,y,Blue Moon
7/4/2015,155.0,,,
7/5/2015,125.0,,,
7/6/2015,155.0,,,
7/7/2015,162.0,,,
7/8/2015,130.0,Third Quarter,n,
7/9/2015,134.0,,,
8/1/2015,158.0,,,
8/10/2015,141.0,,,
8/11/2015,116.0,,,
8/12/2015,153.0,,,
8/13/2015,130.0,,,
8/14/2015,154.0,New Moon,n,
8/15/2015,140.0,,,
8/16/2015,114.0,,,
8/17/2015,151.0,,,
8/18/2015,164.0,,,
8/19/2015,114.0,,,
8/2/2015,143.0,,,
8/20/2015,161.0,,,
8/21/2015,160.0,,,
8/22/2015,151.0,First Quarter,n,
8/23/2015,149.0,,,
8/24/2015,138.0,,,
8/25/2015,154.0,,,
8/26/2015,160.0,,,
8/27/2015,152.0,,,
8/28/2015,178.0,,,
8/29/2015,136.0,Full Moon,y,Super Full Moon
8/3/2015,150.0,,,
8/30/2015,135.0,,,
8/31/2015,142.0,,,
8/4/2015,146.0,,,
8/5/2015,136.0,,,
8/6/2015,155.0,Third Quarter,n,
8/7/2015,187.0,,,
8/8/2015,158.0,,,
8/9/2015,146.0,,,
9/1/2015,144.0,,,
9/10/2015,129.0,,,
9/11/2015,157.0,,,
9/12/2015,182.0,New Moon,y,Micro New Moon
9/13/2015,127.0,,,
9/14/2015,141.0,,,
9/15/2015,146.0,,,
9/16/2015,139.0,,,
9/17/2015,146.0,,,
9/18/2015,205.0,,,
9/19/2015,133.0,,,
9/2/2015,150.0,,,
9/20/2015,141.0,,,
9/21/2015,142.0,First Quarter,n,
9/22/2015,139.0,,,
9/23/2015,156.0,,,
9/24/2015,156.0,,,
9/25/2015,161.0,,,
9/26/2015,161.0,,,
9/27/2015,159.0,Full Moon,y,"Super Full Moon, Total Lunar Eclipse"
9/28/2015,158.0,,,
9/29/2015,157.0,,,
9/3/2015,148.0,,,
9/30/2015,174.0,,,
9/4/2015,151.0,,,
9/5/2015,125.0,Third Quarter,n,
9/6/2015,129.0,,,
9/7/2015,148.0,,,
9/8/2015,162.0,,,
9/9/2015,147.0,,,
1/26/2015,,First Quarter,n,
,,,,
