Occur Date,Offense Type,Violent Crime,NonViolent Crime
1/1/2015,44,11.0,33.0
1/10/2015,1,0.0,1.0
1/11/2015,3,0.0,3.0
1/12/2015,2,1.0,1.0
1/13/2015,3,1.0,2.0
1/14/2015,1,0.0,1.0
1/15/2015,4,0.0,4.0
1/16/2015,3,0.0,3.0
1/18/2015,1,0.0,1.0
1/19/2015,6,1.0,5.0
1/2/2015,1,0.0,1.0
1/20/2015,2,2.0,0.0
1/21/2015,1,0.0,1.0
1/22/2015,2,0.0,2.0
1/23/2015,1,1.0,0.0
1/24/2015,2,0.0,2.0
1/27/2015,1,1.0,0.0
1/30/2015,3,0.0,3.0
1/31/2015,2,0.0,2.0
1/4/2015,3,1.0,2.0
1/5/2015,3,1.0,2.0
1/6/2015,3,0.0,3.0
1/7/2015,2,0.0,2.0
1/8/2015,1,0.0,1.0
10/1/2015,197,51.0,146.0
10/10/2015,171,48.0,123.0
10/11/2015,140,36.0,104.0
10/12/2015,161,43.0,118.0
10/13/2015,154,34.0,120.0
10/14/2015,163,37.0,126.0
10/15/2015,169,36.0,133.0
10/16/2015,176,46.0,130.0
10/17/2015,179,45.0,134.0
10/18/2015,191,55.0,136.0
10/19/2015,158,33.0,125.0
10/2/2015,162,35.0,127.0
10/20/2015,132,32.0,100.0
10/21/2015,164,41.0,123.0
10/22/2015,148,41.0,107.0
10/23/2015,143,31.0,112.0
10/24/2015,194,31.0,163.0
10/25/2015,177,43.0,134.0
10/26/2015,166,35.0,131.0
10/27/2015,147,30.0,117.0
10/28/2015,156,24.0,132.0
10/29/2015,190,37.0,153.0
10/3/2015,180,41.0,139.0
10/30/2015,185,29.0,156.0
10/31/2015,232,54.0,178.0
10/4/2015,137,40.0,97.0
10/5/2015,154,35.0,119.0
10/6/2015,137,26.0,111.0
10/7/2015,175,40.0,135.0
10/8/2015,132,25.0,107.0
10/9/2015,155,38.0,117.0
11/1/2015,177,43.0,134.0
11/10/2015,144,35.0,109.0
11/11/2015,147,26.0,121.0
11/12/2015,160,26.0,134.0
11/13/2015,133,39.0,94.0
11/14/2015,126,29.0,97.0
11/15/2015,153,46.0,107.0
11/16/2015,115,33.0,82.0
11/17/2015,171,27.0,144.0
11/18/2015,160,31.0,129.0
11/19/2015,172,36.0,136.0
11/2/2015,165,33.0,132.0
11/20/2015,173,42.0,131.0
11/21/2015,215,36.0,179.0
11/22/2015,146,27.0,119.0
11/23/2015,174,32.0,142.0
11/24/2015,162,26.0,136.0
11/25/2015,182,41.0,141.0
11/26/2015,127,24.0,103.0
11/27/2015,182,40.0,142.0
11/28/2015,161,23.0,138.0
11/29/2015,138,26.0,112.0
11/3/2015,157,29.0,128.0
11/30/2015,143,26.0,117.0
11/4/2015,148,25.0,123.0
11/5/2015,183,47.0,136.0
11/6/2015,169,33.0,136.0
11/7/2015,177,40.0,137.0
11/8/2015,125,33.0,92.0
11/9/2015,156,39.0,117.0
12/1/2015,188,38.0,150.0
12/10/2015,151,40.0,111.0
12/11/2015,158,31.0,127.0
12/12/2015,180,40.0,140.0
12/13/2015,150,28.0,122.0
12/14/2015,175,44.0,131.0
12/15/2015,159,33.0,126.0
12/16/2015,156,21.0,135.0
12/17/2015,140,23.0,117.0
12/18/2015,187,46.0,141.0
12/19/2015,164,45.0,119.0
12/2/2015,166,31.0,135.0
12/20/2015,130,39.0,91.0
12/21/2015,164,37.0,127.0
12/22/2015,155,40.0,115.0
12/23/2015,148,30.0,118.0
12/24/2015,152,29.0,123.0
12/25/2015,108,34.0,74.0
12/26/2015,141,36.0,105.0
12/27/2015,153,47.0,106.0
12/28/2015,134,23.0,111.0
12/29/2015,137,29.0,108.0
12/3/2015,164,29.0,135.0
12/30/2015,166,35.0,131.0
12/31/2015,145,35.0,110.0
12/4/2015,209,41.0,168.0
12/5/2015,166,44.0,122.0
12/6/2015,164,38.0,126.0
12/7/2015,140,26.0,114.0
12/8/2015,162,43.0,119.0
12/9/2015,146,35.0,111.0
2/1/2015,18,7.0,11.0
2/11/2015,2,0.0,2.0
2/13/2015,2,2.0,0.0
2/14/2015,2,1.0,1.0
2/15/2015,7,0.0,7.0
2/16/2015,1,0.0,1.0
2/18/2015,2,0.0,2.0
2/19/2015,1,0.0,1.0
2/2/2015,4,1.0,3.0
2/20/2015,5,0.0,5.0
2/21/2015,2,0.0,2.0
2/22/2015,5,0.0,5.0
2/23/2015,1,0.0,1.0
2/24/2015,2,1.0,1.0
2/25/2015,3,0.0,3.0
2/26/2015,8,1.0,7.0
2/27/2015,2,0.0,2.0
2/28/2015,2,0.0,2.0
2/3/2015,1,0.0,1.0
2/4/2015,1,0.0,1.0
2/5/2015,3,0.0,3.0
2/6/2015,3,1.0,2.0
2/7/2015,1,1.0,0.0
2/8/2015,1,1.0,0.0
3/1/2015,25,10.0,15.0
3/10/2015,5,0.0,5.0
3/11/2015,2,0.0,2.0
3/12/2015,7,1.0,6.0
3/13/2015,1,0.0,1.0
3/14/2015,1,0.0,1.0
3/15/2015,5,1.0,4.0
3/16/2015,2,0.0,2.0
3/17/2015,3,0.0,3.0
3/18/2015,4,0.0,4.0
3/19/2015,8,2.0,6.0
3/2/2015,4,0.0,4.0
3/20/2015,4,0.0,4.0
3/21/2015,5,0.0,5.0
3/23/2015,1,1.0,0.0
3/24/2015,1,0.0,1.0
3/25/2015,1,1.0,0.0
3/26/2015,4,1.0,3.0
3/27/2015,4,1.0,3.0
3/28/2015,5,0.0,5.0
3/29/2015,2,0.0,2.0
3/3/2015,4,0.0,4.0
3/31/2015,4,0.0,4.0
3/4/2015,4,1.0,3.0
3/5/2015,3,1.0,2.0
3/6/2015,5,1.0,4.0
3/8/2015,1,0.0,1.0
3/9/2015,2,1.0,1.0
4/1/2015,31,5.0,26.0
4/10/2015,9,0.0,9.0
4/11/2015,4,1.0,3.0
4/12/2015,5,1.0,4.0
4/13/2015,9,2.0,7.0
4/14/2015,8,1.0,7.0
4/15/2015,29,1.0,28.0
4/16/2015,6,0.0,6.0
4/17/2015,9,1.0,8.0
4/18/2015,4,1.0,3.0
4/19/2015,7,1.0,6.0
4/2/2015,2,0.0,2.0
4/20/2015,19,3.0,16.0
4/21/2015,8,1.0,7.0
4/22/2015,9,4.0,5.0
4/23/2015,8,3.0,5.0
4/24/2015,16,4.0,12.0
4/25/2015,7,2.0,5.0
4/26/2015,11,3.0,8.0
4/27/2015,30,3.0,27.0
4/28/2015,26,4.0,22.0
4/29/2015,29,4.0,25.0
4/3/2015,7,0.0,7.0
4/30/2015,65,7.0,58.0
4/4/2015,7,0.0,7.0
4/5/2015,4,0.0,4.0
4/6/2015,11,0.0,11.0
4/7/2015,10,0.0,10.0
4/8/2015,2,1.0,1.0
4/9/2015,2,0.0,2.0
5/1/2015,193,48.0,145.0
5/10/2015,145,35.0,110.0
5/11/2015,149,34.0,115.0
5/12/2015,163,37.0,126.0
5/13/2015,139,21.0,118.0
5/14/2015,147,35.0,112.0
5/15/2015,190,39.0,151.0
5/16/2015,167,44.0,123.0
5/17/2015,162,30.0,132.0
5/18/2015,158,46.0,112.0
5/19/2015,149,30.0,119.0
5/2/2015,178,39.0,139.0
5/20/2015,197,53.0,144.0
5/21/2015,188,55.0,133.0
5/22/2015,163,34.0,129.0
5/23/2015,134,32.0,102.0
5/24/2015,140,40.0,100.0
5/25/2015,140,30.0,110.0
5/26/2015,189,51.0,138.0
5/27/2015,149,29.0,120.0
5/28/2015,147,33.0,114.0
5/29/2015,158,40.0,118.0
5/3/2015,130,41.0,89.0
5/30/2015,167,47.0,120.0
5/31/2015,135,45.0,90.0
5/4/2015,146,35.0,111.0
5/5/2015,151,35.0,116.0
5/6/2015,169,44.0,125.0
5/7/2015,143,32.0,111.0
5/8/2015,150,38.0,112.0
5/9/2015,125,29.0,96.0
6/1/2015,173,41.0,132.0
6/10/2015,175,56.0,119.0
6/11/2015,125,34.0,91.0
6/12/2015,164,37.0,127.0
6/13/2015,155,37.0,118.0
6/14/2015,148,36.0,112.0
6/15/2015,162,35.0,127.0
6/16/2015,137,31.0,106.0
6/17/2015,156,38.0,118.0
6/18/2015,145,52.0,93.0
6/19/2015,139,39.0,100.0
6/2/2015,145,32.0,113.0
6/20/2015,135,30.0,105.0
6/21/2015,163,52.0,111.0
6/22/2015,142,37.0,105.0
6/23/2015,169,48.0,121.0
6/24/2015,154,41.0,113.0
6/25/2015,187,53.0,134.0
6/26/2015,156,34.0,122.0
6/27/2015,143,44.0,99.0
6/28/2015,144,43.0,101.0
6/29/2015,152,36.0,116.0
6/3/2015,147,24.0,123.0
6/30/2015,134,35.0,99.0
6/4/2015,152,33.0,119.0
6/5/2015,172,39.0,133.0
6/6/2015,144,40.0,104.0
6/7/2015,153,42.0,111.0
6/8/2015,147,47.0,100.0
6/9/2015,145,43.0,102.0
7/1/2015,167,49.0,118.0
7/10/2015,171,35.0,136.0
7/11/2015,157,33.0,124.0
7/12/2015,114,35.0,79.0
7/13/2015,126,32.0,94.0
7/14/2015,144,36.0,108.0
7/15/2015,156,33.0,123.0
7/16/2015,159,39.0,120.0
7/17/2015,186,49.0,137.0
7/18/2015,151,36.0,115.0
7/19/2015,124,32.0,92.0
7/2/2015,167,45.0,122.0
7/20/2015,154,34.0,120.0
7/21/2015,161,31.0,130.0
7/22/2015,163,38.0,125.0
7/23/2015,165,32.0,133.0
7/24/2015,190,33.0,157.0
7/25/2015,151,45.0,106.0
7/26/2015,166,35.0,131.0
7/27/2015,145,28.0,117.0
7/28/2015,159,35.0,124.0
7/29/2015,174,34.0,140.0
7/3/2015,176,56.0,120.0
7/30/2015,162,35.0,127.0
7/31/2015,172,32.0,140.0
7/4/2015,155,51.0,104.0
7/5/2015,125,33.0,92.0
7/6/2015,155,40.0,115.0
7/7/2015,162,38.0,124.0
7/8/2015,130,36.0,94.0
7/9/2015,134,32.0,102.0
8/1/2015,158,50.0,108.0
8/10/2015,141,41.0,100.0
8/11/2015,116,26.0,90.0
8/12/2015,153,41.0,112.0
8/13/2015,130,30.0,100.0
8/14/2015,154,38.0,116.0
8/15/2015,140,39.0,101.0
8/16/2015,114,31.0,83.0
8/17/2015,151,35.0,116.0
8/18/2015,164,38.0,126.0
8/19/2015,114,37.0,77.0
8/2/2015,143,45.0,98.0
8/20/2015,161,47.0,114.0
8/21/2015,160,35.0,125.0
8/22/2015,151,46.0,105.0
8/23/2015,149,61.0,88.0
8/24/2015,138,40.0,98.0
8/25/2015,154,31.0,123.0
8/26/2015,160,38.0,122.0
8/27/2015,152,32.0,120.0
8/28/2015,178,43.0,135.0
8/29/2015,136,39.0,97.0
8/3/2015,150,48.0,102.0
8/30/2015,135,49.0,86.0
8/31/2015,142,34.0,108.0
8/4/2015,146,26.0,120.0
8/5/2015,136,32.0,104.0
8/6/2015,155,41.0,114.0
8/7/2015,187,53.0,134.0
8/8/2015,158,37.0,121.0
8/9/2015,146,44.0,102.0
9/1/2015,144,38.0,106.0
9/10/2015,129,21.0,108.0
9/11/2015,157,46.0,111.0
9/12/2015,182,48.0,134.0
9/13/2015,127,41.0,86.0
9/14/2015,141,33.0,108.0
9/15/2015,146,31.0,115.0
9/16/2015,139,24.0,115.0
9/17/2015,146,18.0,128.0
9/18/2015,205,44.0,161.0
9/19/2015,133,24.0,109.0
9/2/2015,150,27.0,123.0
9/20/2015,141,49.0,92.0
9/21/2015,142,30.0,112.0
9/22/2015,139,30.0,109.0
9/23/2015,156,41.0,115.0
9/24/2015,156,38.0,118.0
9/25/2015,161,28.0,133.0
9/26/2015,161,34.0,127.0
9/27/2015,159,43.0,116.0
9/28/2015,158,35.0,123.0
9/29/2015,157,47.0,110.0
9/3/2015,148,31.0,117.0
9/30/2015,174,28.0,146.0
9/4/2015,151,34.0,117.0
9/5/2015,125,40.0,85.0
9/6/2015,129,27.0,102.0
9/7/2015,148,41.0,107.0
9/8/2015,162,34.0,128.0
9/9/2015,147,35.0,112.0
